crane_type,crane_capacity_kg,boom_length_m,boom_angle_deg,lifting_radius_m,hook_height_m,load_type,load_weight_kg,load_area_m2,wind_speed_ms,gust_speed_ms,wind_direction_deg,temperature_c,humidity_percent,air_pressure_hpa,visibility_m,rain_mm,crane_tilt_deg,operator_experience_years,risk_score,safety_status
Tower Crane,8000,61.0,61,24.4,55.0,Glass Panel,986,9.98,9.5,10.3,168,-3.7,40,1007.7,2237,7.5,0.02,27,23.42,Safe
Crawler Crane,12000,47.7,30,26.4,24.7,Precast Wall,2859,9.4,7.3,8.4,336,-4.7,30,1019.5,7923,1.8,0.44,11,25.23,Safe
Mobile Crane,5000,26.3,28,19.5,11.5,Steel Beam,789,2.64,6.8,8.6,47,14.9,47,1000.8,7035,1.1,0.03,3,22.99,Safe
Tower Crane,8000,74.1,35,38.1,42.1,Shipping Container,1993,12.39,2.8,3.7,158,40.2,41,1006.2,2074,1.3,0.72,27,18.44,Safe
Crawler Crane,12000,65.6,56,35.8,53.9,Steel Pipe,2032,2.36,7.5,9.0,188,25.7,80,1018.4,2022,0.0,0.26,2,23.7,Safe
Crawler Crane,12000,88.7,68,37.5,83.0,Shipping Container,3528,14.22,1.9,2.4,42,9.5,80,993.6,8325,0.0,0.59,10,18.27,Safe
Mobile Crane,5000,49.5,68,39.4,47.3,Wind Turbine Blade,2105,23.53,4.2,5.2,23,20.7,90,1009.1,2048,4.6,0.0,15,31.1,Safe
Crawler Crane,12000,57.8,62,19.9,51.0,Concrete Block,4033,2.32,7.3,8.1,93,37.1,30,993.7,5376,0.0,0.07,11,21.94,Safe
Rough Terrain Crane,7000,51.5,53,33.1,40.2,Shipping Container,2364,11.48,2.3,3.0,309,8.0,38,1009.5,793,4.6,0.42,1,24.25,Safe
Rough Terrain Crane,7000,29.1,35,19.2,16.5,Wind Turbine Blade,3279,24.87,3.9,5.1,249,10.1,71,1021.1,6971,2.8,0.59,26,29.32,Safe
Crawler Crane,12000,44.4,33,13.7,22.6,Steel Beam,1270,3.58,4.9,5.5,332,2.3,55,1009.6,9324,0.0,0.12,7,13.56,Safe
Tower Crane,8000,52.0,54,19.8,41.8,Concrete Block,1680,2.8,6.8,8.9,227,43.2,85,990.9,7864,2.9,0.57,19,19.65,Safe
Mobile Crane,5000,26.0,61,19.7,22.3,Machinery,832,2.62,6.1,8.2,221,44.0,88,1023.2,9581,0.0,0.48,10,21.75,Safe
Tower Crane,8000,59.5,56,34.6,50.2,Precast Wall,1949,10.0,13.8,17.0,216,23.8,95,992.9,7334,5.4,0.74,29,35.34,Warning
Rough Terrain Crane,7000,29.1,64,23.8,25.5,Wind Turbine Blade,1542,17.42,8.2,10.7,240,12.2,54,1012.8,6056,2.6,0.52,30,29.95,Safe
Rough Terrain Crane,7000,29.6,43,20.7,19.7,Wind Turbine Blade,3206,29.12,2.6,3.3,184,34.8,45,1018.0,5127,2.7,0.14,23,28.41,Safe
Tower Crane,8000,66.7,33,26.4,35.0,Precast Wall,1413,10.55,3.5,4.8,252,10.2,51,1015.1,797,0.0,0.39,12,17.91,Safe
Crawler Crane,12000,57.9,35,22.9,34.6,Steel Beam,760,2.01,5.3,5.8,116,1.0,53,1011.9,6075,2.7,0.24,26,12.14,Safe
Crawler Crane,12000,78.5,74,61.4,74.5,Shipping Container,4326,16.99,3.7,4.7,53,30.3,81,1026.0,2317,0.3,0.12,4,28.06,Safe
Tower Crane,8000,72.9,27,42.2,31.8,Concrete Block,4567,1.41,10.3,12.1,149,30.4,89,1012.4,2126,0.0,0.47,5,36.23,Warning
Crawler Crane,12000,56.7,33,20.8,29.7,Wind Turbine Blade,3075,26.54,9.1,10.3,242,12.1,89,997.7,4858,0.5,0.28,12,32.12,Safe
Rough Terrain Crane,7000,37.6,67,16.4,35.6,Wind Turbine Blade,3112,18.42,8.3,11.0,211,40.9,83,1032.8,8956,4.6,0.16,26,30.6,Safe
Crawler Crane,12000,87.2,53,33.1,67.7,Concrete Block,1347,1.68,8.0,9.5,84,16.7,75,1024.2,2973,3.0,0.55,29,18.38,Safe
Tower Crane,8000,79.1,70,58.5,75.8,Steel Pipe,2017,3.61,3.1,4.0,283,38.7,65,1030.9,629,2.0,0.21,27,17.41,Safe
Crawler Crane,12000,85.0,64,68.5,77.2,Precast Wall,3637,6.44,11.7,14.5,316,27.6,69,1029.9,7127,2.2,0.0,25,32.51,Safe
Mobile Crane,5000,46.4,30,14.9,22.5,Shipping Container,3631,17.94,9.1,10.5,47,20.6,64,1013.5,3121,1.1,0.25,1,40.29,Warning
Tower Crane,8000,75.6,59,47.3,63.8,Steel Pipe,2031,5.95,9.5,10.3,30,37.1,58,1018.2,6307,1.9,0.71,4,30.46,Safe
Tower Crane,8000,70.3,32,38.4,37.5,Steel Beam,2356,2.02,6.6,7.5,297,23.3,93,1028.0,4331,0.0,0.22,12,22.42,Safe
Crawler Crane,12000,54.2,75,40.6,52.6,Shipping Container,4425,13.02,6.4,8.4,53,11.4,99,998.7,6419,3.3,0.31,15,29.56,Safe
Tower Crane,8000,45.9,52,34.7,34.5,Steel Beam,2240,3.67,7.0,8.5,228,-1.1,92,1008.1,9658,0.0,0.34,17,24.11,Safe
Rough Terrain Crane,7000,55.5,62,31.9,48.7,Precast Wall,3822,11.52,5.5,6.7,213,36.2,43,1012.8,8442,0.4,0.06,23,26.51,Safe
Rough Terrain Crane,7000,29.5,70,17.2,27.8,Glass Panel,666,9.79,8.9,11.7,286,13.5,40,1017.1,7194,1.8,0.22,4,26.55,Safe
Tower Crane,8000,54.8,43,17.7,36.0,Machinery,2048,7.95,8.0,9.2,248,-3.6,43,996.4,7410,0.0,0.33,2,24.83,Safe
Crawler Crane,12000,84.5,38,33.9,53.0,Steel Beam,1001,2.64,4.6,4.9,22,15.9,98,1003.9,7911,1.8,0.64,29,11.7,Safe
Crawler Crane,12000,79.1,55,60.0,66.1,Shipping Container,2067,14.04,0.5,0.6,230,28.4,44,1029.0,5828,0.0,0.39,3,17.88,Safe
Rough Terrain Crane,7000,38.6,50,18.8,27.8,Precast Wall,4014,6.94,12.5,13.5,84,30.4,98,1018.4,5560,0.0,0.13,18,36.81,Warning
Tower Crane,8000,65.8,30,26.7,33.4,Steel Beam,2835,2.57,2.8,3.7,257,39.8,40,1019.6,9213,3.2,0.09,6,16.62,Safe
Tower Crane,8000,51.0,38,22.2,32.2,Precast Wall,1346,10.65,16.6,21.0,205,24.4,87,1028.8,881,0.0,0.43,11,39.76,Warning
Rough Terrain Crane,7000,31.3,26,24.2,13.0,Steel Pipe,672,2.46,7.9,8.6,86,9.3,48,1001.5,1968,1.7,0.48,5,25.22,Safe
Crawler Crane,12000,87.6,68,34.4,81.7,Machinery,1543,2.16,4.9,5.2,199,-0.1,43,1008.6,5811,6.0,0.03,9,15.35,Safe
Rough Terrain Crane,7000,58.0,32,19.1,29.7,Glass Panel,704,10.07,0.4,0.5,58,8.5,65,1010.9,7169,0.0,0.58,3,10.88,Safe
Rough Terrain Crane,7000,26.0,65,11.1,25.1,Steel Pipe,715,2.99,8.8,10.9,64,10.2,77,1010.1,8699,1.5,0.05,7,21.22,Safe
Mobile Crane,5000,31.2,35,22.8,18.0,Wind Turbine Blade,3468,28.67,5.7,6.9,0,35.6,62,1019.4,3242,0.0,0.26,1,41.83,Warning
Tower Crane,8000,77.3,55,34.8,62.3,Wind Turbine Blade,2219,27.64,6.5,7.3,261,9.1,45,1023.3,9725,6.6,0.77,3,32.1,Safe
Crawler Crane,12000,44.5,69,16.4,40.1,Steel Pipe,2069,2.84,6.7,8.2,162,39.2,68,1018.6,7917,4.1,0.38,9,19.6,Safe
Mobile Crane,5000,39.9,45,19.5,28.1,Machinery,865,7.48,3.9,4.3,1,25.4,25,1030.6,3343,1.0,0.59,14,17.86,Safe
Rough Terrain Crane,7000,51.7,59,17.8,45.8,Concrete Block,3206,1.06,2.0,2.7,343,17.3,40,1005.9,6666,0.5,0.06,27,13.14,Safe
Crawler Crane,12000,59.3,74,44.3,58.9,Concrete Block,2895,1.74,8.7,9.7,4,6.1,27,1024.1,6362,3.8,0.4,7,27.91,Safe
Tower Crane,8000,72.7,65,33.9,66.8,Glass Panel,705,13.74,6.0,6.4,252,40.2,51,990.3,6989,0.0,0.14,4,20.76,Safe
Crawler Crane,12000,68.5,56,27.0,55.6,Shipping Container,1767,14.71,4.4,5.8,65,8.0,97,1028.5,9070,0.0,0.16,24,16.08,Safe
Crawler Crane,12000,49.6,68,15.5,47.9,Steel Pipe,2159,2.01,3.5,4.2,344,42.2,31,1028.4,5792,5.5,0.39,14,13.59,Safe
Rough Terrain Crane,7000,34.6,68,20.2,32.1,Steel Beam,1419,1.14,17.7,24.3,272,17.4,25,1007.6,5983,1.6,0.37,3,41.55,Warning
Tower Crane,8000,79.6,39,66.7,49.8,Concrete Block,4756,1.5,5.2,5.8,159,-1.9,37,991.3,7577,4.7,0.37,26,27.23,Safe
Tower Crane,8000,63.7,65,51.9,59.1,Glass Panel,310,9.79,2.5,3.5,27,36.1,91,1025.7,1694,4.4,0.11,25,15.26,Safe
Rough Terrain Crane,7000,51.7,65,28.2,45.4,Steel Beam,636,2.13,4.9,6.7,355,-1.7,41,992.8,7740,6.7,0.66,2,19.02,Safe
Crawler Crane,12000,70.5,52,23.7,56.3,Steel Beam,1707,3.55,3.2,3.8,316,32.6,54,1028.9,673,0.0,0.15,15,12.54,Safe
Rough Terrain Crane,7000,41.2,52,32.3,32.9,Machinery,3466,7.63,1.1,1.5,232,20.9,100,998.7,2182,1.4,0.33,1,24.58,Safe
Tower Crane,8000,63.7,37,50.8,36.8,Steel Pipe,1755,3.68,4.2,5.5,227,4.3,42,1025.9,1491,4.1,0.14,5,22.47,Safe
Crawler Crane,12000,69.2,57,57.3,59.1,Steel Pipe,896,2.59,9.5,11.0,175,9.6,26,1013.3,2869,2.5,0.04,2,27.45,Safe
Mobile Crane,5000,35.2,60,27.2,30.2,Glass Panel,1199,7.6,5.5,7.5,35,12.1,85,1021.3,8157,0.0,0.18,20,22.1,Safe
Crawler Crane,12000,82.6,61,68.5,72.7,Wind Turbine Blade,2173,17.43,2.0,2.4,21,19.8,25,1018.7,4272,0.9,0.73,15,21.81,Safe
Mobile Crane,5000,27.2,72,19.7,27.1,Wind Turbine Blade,1920,21.0,5.3,7.1,3,13.1,34,1006.1,9588,3.7,0.43,4,31.88,Safe
Mobile Crane,5000,28.7,37,18.6,18.9,Machinery,979,7.85,2.9,3.2,145,3.7,58,1022.3,6067,0.0,0.29,28,14.91,Safe
Mobile Crane,5000,25.4,26,10.1,10.2,Concrete Block,1085,2.66,8.3,9.1,335,34.4,39,1005.2,3944,2.1,0.24,10,22.93,Safe
Rough Terrain Crane,7000,33.4,48,22.2,26.6,Wind Turbine Blade,3298,25.66,1.9,2.1,66,34.7,49,1014.0,6631,0.7,0.14,11,27.11,Safe
Rough Terrain Crane,7000,59.2,40,47.7,39.1,Glass Panel,1074,10.28,3.9,5.2,167,7.4,60,1029.3,8827,2.1,0.13,19,19.08,Safe
Rough Terrain Crane,7000,32.3,30,23.6,17.3,Concrete Block,1685,2.02,3.8,5.0,330,32.6,72,1012.4,8106,3.7,0.04,6,19.24,Safe
Crawler Crane,12000,75.6,58,51.6,65.0,Precast Wall,2940,6.88,5.4,6.4,298,27.5,51,999.9,3825,0.0,0.2,15,22.2,Safe
Mobile Crane,5000,31.9,44,17.0,21.7,Shipping Container,3032,12.04,1.8,1.9,43,9.8,91,1005.8,1174,0.0,0.47,15,24.97,Safe
Crawler Crane,12000,61.3,54,33.0,49.1,Precast Wall,2298,6.91,4.6,4.9,226,6.7,34,1006.2,1850,1.7,0.23,10,19.68,Safe
Tower Crane,8000,71.4,39,25.3,43.2,Steel Beam,2736,1.6,6.3,7.0,168,7.5,60,998.6,2758,0.0,0.04,28,18.24,Safe
Crawler Crane,12000,40.4,44,18.4,27.5,Wind Turbine Blade,3437,21.09,8.0,10.0,335,-4.4,90,1034.5,2945,0.0,0.37,28,28.53,Safe
Rough Terrain Crane,7000,33.0,71,23.5,31.1,Precast Wall,3959,10.7,6.4,7.5,43,10.7,49,1009.3,7343,2.4,0.19,7,32.59,Safe
Rough Terrain Crane,7000,40.7,60,12.9,33.8,Shipping Container,2751,17.55,6.8,7.2,337,36.7,68,1000.1,7474,0.0,0.11,22,24.99,Safe
Rough Terrain Crane,7000,51.7,69,30.8,47.6,Steel Beam,2824,3.36,2.8,3.8,78,43.9,67,1015.6,9902,0.0,0.04,28,15.76,Safe
Rough Terrain Crane,7000,59.3,38,48.7,34.8,Wind Turbine Blade,1885,22.12,9.7,11.3,231,27.0,63,994.2,2209,4.1,1.0,22,37.9,Warning
Mobile Crane,5000,21.0,69,13.3,17.7,Glass Panel,271,13.29,2.4,2.8,105,6.7,92,993.1,1441,2.3,0.41,12,16.98,Safe
Tower Crane,8000,46.9,51,24.2,38.4,Shipping Container,3697,13.35,1.9,2.5,199,42.8,51,995.8,3869,2.1,0.74,10,23.9,Safe
Rough Terrain Crane,7000,53.6,67,30.1,49.8,Steel Pipe,1131,4.01,2.0,2.6,141,5.1,43,1010.1,7041,0.0,0.68,20,12.78,Safe
Mobile Crane,5000,35.8,61,28.1,31.2,Steel Beam,873,1.86,3.0,4.1,233,12.3,63,1007.6,3369,0.0,0.8,14,18.22,Safe
Mobile Crane,5000,25.4,64,17.9,22.7,Shipping Container,4361,14.55,5.1,6.1,22,7.0,45,1002.3,9310,2.9,0.82,10,38.7,Warning
Tower Crane,8000,67.9,71,54.1,65.8,Wind Turbine Blade,3060,23.29,1.8,2.5,39,32.8,89,1024.5,5841,5.2,0.22,14,26.48,Safe
Rough Terrain Crane,7000,30.8,38,17.8,18.8,Concrete Block,3616,2.39,5.5,7.2,195,12.2,76,1028.5,6999,0.0,0.04,2,26.42,Safe
Tower Crane,8000,50.0,70,40.2,46.3,Precast Wall,2985,8.23,3.0,3.2,336,7.1,81,996.3,5073,4.5,0.03,27,20.63,Safe
Mobile Crane,5000,25.1,26,15.9,9.7,Concrete Block,3189,2.48,6.0,6.7,343,33.2,59,996.9,6366,2.0,0.12,6,29.86,Safe
Mobile Crane,5000,41.4,68,24.5,38.2,Steel Beam,2641,2.92,10.2,13.3,52,14.5,64,1010.0,576,0.0,0.35,2,36.8,Warning
Rough Terrain Crane,7000,51.8,40,26.2,32.3,Concrete Block,1065,1.84,5.4,7.5,172,36.0,33,999.9,2082,3.6,0.18,26,16.5,Safe
Mobile Crane,5000,41.7,27,22.0,17.4,Machinery,2121,5.37,6.2,6.9,106,41.7,75,1032.3,2479,0.0,0.2,8,26.17,Safe
Mobile Crane,5000,23.2,45,9.2,16.0,Machinery,849,4.34,7.2,8.7,33,27.9,60,1019.2,6545,0.0,0.54,2,22.21,Safe
Tower Crane,8000,75.4,51,35.1,59.0,Concrete Block,3918,2.07,8.6,12.0,291,3.6,37,1017.0,6866,0.0,0.26,22,27.65,Safe
Mobile Crane,5000,30.0,65,21.6,27.9,Precast Wall,1276,7.35,8.8,11.1,299,17.4,90,1018.8,4308,6.6,0.52,17,30.06,Safe
Tower Crane,8000,49.3,64,35.4,42.8,Glass Panel,955,9.43,8.9,10.1,40,-2.0,72,1012.4,3809,3.3,0.14,5,28.22,Safe
Rough Terrain Crane,7000,32.2,27,13.9,15.5,Precast Wall,4027,11.14,6.1,6.7,162,27.2,30,1013.4,7297,2.5,0.05,21,27.06,Safe
Crawler Crane,12000,77.5,39,59.4,48.1,Glass Panel,410,10.31,8.8,12.0,340,44.4,53,1017.4,6750,3.5,0.07,17,25.35,Safe
Crawler Crane,12000,49.2,65,14.9,46.1,Concrete Block,4906,1.38,10.8,13.7,72,41.9,41,994.1,9492,0.0,0.08,27,25.65,Safe
Mobile Crane,5000,27.1,30,14.5,13.4,Shipping Container,4455,11.58,3.2,3.8,310,7.4,61,1015.9,3799,1.9,0.43,9,33.44,Safe
Rough Terrain Crane,7000,27.8,48,14.4,19.3,Precast Wall,2731,8.54,2.8,3.7,79,36.0,86,990.9,6749,7.2,0.12,14,20.41,Safe
Tower Crane,8000,70.4,44,44.2,47.5,Shipping Container,2553,13.04,2.1,2.4,145,13.8,86,993.2,2738,1.6,0.27,23,19.27,Safe
Rough Terrain Crane,7000,31.9,37,9.6,20.6,Machinery,2812,4.43,5.9,7.1,202,43.5,72,1007.3,5543,0.8,0.34,21,20.78,Safe
Tower Crane,8000,56.4,27,47.7,24.1,Shipping Container,2295,16.1,14.2,19.7,178,20.5,87,1018.6,6532,4.4,0.63,23,42.99,Warning
Tower Crane,8000,66.0,52,46.5,51.0,Steel Beam,1980,2.89,3.0,3.9,357,28.3,43,1001.8,7962,0.4,0.5,22,16.34,Safe
Mobile Crane,5000,27.6,63,17.1,25.2,Shipping Container,1550,10.93,2.9,3.1,196,14.9,100,1033.8,1816,1.1,0.12,17,20.14,Safe
Mobile Crane,5000,46.3,35,35.0,25.6,Steel Pipe,2350,5.87,6.1,7.8,195,24.3,77,1023.9,1956,2.7,0.3,4,31.12,Safe
Crawler Crane,12000,80.7,42,57.4,55.7,Wind Turbine Blade,2931,19.62,2.0,2.8,251,-4.9,33,1024.8,7345,0.0,0.38,17,20.85,Safe
Rough Terrain Crane,7000,47.9,71,25.7,44.0,Shipping Container,4383,11.07,9.8,12.0,257,42.4,82,1015.5,3982,1.5,0.6,6,39.54,Warning
Mobile Crane,5000,21.8,36,16.2,11.6,Wind Turbine Blade,2402,24.4,7.8,9.9,325,3.3,62,993.9,2542,0.1,0.39,9,39.12,Warning
Tower Crane,8000,53.7,62,23.0,47.4,Concrete Block,1038,1.12,9.2,12.1,3,28.3,30,994.4,9057,0.0,0.02,26,18.86,Safe
Tower Crane,8000,55.0,58,46.4,47.7,Precast Wall,2938,10.3,5.8,7.3,172,13.5,68,1035.0,4425,0.0,0.5,12,29.28,Safe
Rough Terrain Crane,7000,38.2,28,32.0,19.4,Concrete Block,1012,1.91,3.1,4.0,71,-3.7,40,1029.1,5078,3.5,0.36,23,15.98,Safe
Mobile Crane,5000,31.1,64,21.1,29.4,Wind Turbine Blade,2852,17.82,2.3,3.2,164,-4.2,71,1029.3,5833,0.0,0.08,22,25.75,Safe
Rough Terrain Crane,7000,33.2,56,17.3,28.0,Concrete Block,2426,1.86,4.6,6.3,243,44.3,37,1023.0,5314,5.8,0.1,20,19.55,Safe
Mobile Crane,5000,41.4,58,32.4,36.2,Steel Beam,1023,2.49,7.2,7.8,344,44.8,84,997.6,7811,0.0,0.57,4,25.34,Safe
Rough Terrain Crane,7000,48.2,40,20.9,29.7,Concrete Block,1432,1.87,9.5,12.4,82,41.5,66,1030.6,5093,2.2,0.19,8,25.37,Safe
Crawler Crane,12000,73.3,67,27.0,66.0,Precast Wall,1370,10.57,7.0,8.2,114,41.6,33,1019.0,6676,2.1,0.04,30,17.31,Safe
Rough Terrain Crane,7000,47.9,75,29.2,47.7,Glass Panel,428,8.07,4.4,5.1,57,-0.5,100,1032.2,2402,0.0,0.26,19,16.37,Safe
Crawler Crane,12000,46.4,45,38.3,33.1,Steel Beam,1773,1.19,3.1,3.8,198,44.0,65,1024.7,2569,0.0,0.36,17,16.48,Safe
Mobile Crane,5000,23.2,25,13.8,9.6,Shipping Container,2715,16.7,9.4,11.5,233,2.4,61,996.6,1062,3.6,0.2,20,37.48,Warning
Crawler Crane,12000,55.4,69,20.4,53.7,Precast Wall,3584,10.8,7.6,9.3,192,-2.1,67,996.9,3950,0.0,0.24,28,23.22,Safe
Mobile Crane,5000,41.0,28,33.1,20.4,Precast Wall,3979,7.74,3.4,4.7,337,40.6,45,1034.6,9477,2.5,0.25,13,31.45,Safe
Crawler Crane,12000,61.1,55,51.6,51.1,Wind Turbine Blade,1647,22.92,10.0,11.5,356,41.2,95,1007.7,2644,3.2,0.4,11,36.11,Warning
Tower Crane,8000,74.0,70,34.6,70.2,Shipping Container,3309,15.57,7.3,8.4,74,5.5,50,1023.1,649,2.2,0.13,12,30.53,Safe
Tower Crane,8000,67.1,34,34.0,39.5,Shipping Container,1730,10.77,7.4,10.3,91,42.3,40,1034.1,6045,0.0,0.25,19,24.04,Safe
Rough Terrain Crane,7000,58.9,65,41.1,52.4,Concrete Block,1986,1.79,5.4,6.2,305,42.7,73,1024.9,1968,4.3,0.16,25,20.78,Safe
Rough Terrain Crane,7000,55.3,66,28.2,51.0,Precast Wall,2504,5.08,6.2,6.8,62,19.5,90,1000.1,9887,1.8,0.18,19,21.62,Safe
Rough Terrain Crane,7000,34.6,72,12.2,33.3,Wind Turbine Blade,2491,30.0,2.4,3.1,152,23.6,37,1004.6,9306,0.0,0.17,6,24.27,Safe
Rough Terrain Crane,7000,53.5,26,27.6,24.7,Precast Wall,1261,8.63,8.1,10.2,333,1.2,51,1033.5,2422,0.3,0.33,6,26.4,Safe
Mobile Crane,5000,20.2,53,15.0,14.6,Shipping Container,3855,11.65,9.8,10.8,287,7.8,29,993.8,2543,2.5,0.12,17,41.83,Warning
Crawler Crane,12000,58.2,59,23.0,51.8,Steel Beam,1517,1.9,8.3,11.5,265,40.2,62,1019.7,7789,3.7,0.04,5,21.46,Safe
Rough Terrain Crane,7000,49.3,58,39.5,43.8,Glass Panel,904,6.79,4.0,5.3,121,-3.2,43,1003.5,4026,2.1,0.75,5,22.15,Safe
Mobile Crane,5000,37.8,42,14.0,25.8,Concrete Block,3252,1.51,2.2,2.6,83,15.0,35,1032.5,7468,0.0,0.11,23,18.09,Safe
Mobile Crane,5000,36.1,29,23.3,16.6,Glass Panel,931,8.98,6.7,8.6,261,25.2,78,1027.0,5683,0.0,0.12,26,21.48,Safe
Rough Terrain Crane,7000,38.3,63,16.7,33.2,Concrete Block,3801,2.1,8.2,8.8,327,-0.6,67,1025.0,2897,2.3,0.47,28,27.53,Safe
Mobile Crane,5000,28.2,31,14.3,16.4,Wind Turbine Blade,3449,16.58,6.6,9.1,89,21.3,64,1016.5,8521,0.7,0.15,4,35.68,Warning
Crawler Crane,12000,75.0,43,45.3,51.6,Steel Beam,1199,1.95,8.8,11.6,92,12.3,93,1014.8,7097,1.2,0.06,16,21.82,Safe
Mobile Crane,5000,27.8,68,16.2,24.4,Shipping Container,2084,13.03,16.3,21.3,27,40.9,72,1021.8,4581,1.2,0.55,22,44.85,Warning
Rough Terrain Crane,7000,49.7,36,26.9,28.6,Precast Wall,3057,7.01,1.8,2.5,266,42.1,54,1003.7,1924,2.0,0.55,10,21.31,Safe
Rough Terrain Crane,7000,52.0,30,33.8,24.3,Glass Panel,1167,6.75,2.4,3.0,43,32.2,95,1031.8,675,3.9,0.35,14,17.23,Safe
Mobile Crane,5000,34.4,57,23.3,29.6,Concrete Block,2660,1.03,10.2,11.4,3,30.7,93,1023.7,4501,3.0,1.01,24,34.41,Safe
Tower Crane,8000,64.3,35,43.1,38.4,Glass Panel,379,6.6,5.3,7.1,263,12.7,31,1009.0,6711,0.0,0.35,6,19.33,Safe
Crawler Crane,12000,88.5,46,71.0,62.7,Concrete Block,2188,1.6,8.5,9.8,109,-4.9,97,1007.7,5494,3.7,0.27,30,23.43,Safe
Tower Crane,8000,77.4,64,59.3,67.8,Steel Beam,2385,1.99,5.4,6.3,2,12.5,48,1008.1,645,5.8,0.59,4,26.57,Safe
Rough Terrain Crane,7000,42.2,30,24.9,22.7,Wind Turbine Blade,1753,28.7,6.6,6.9,336,7.5,85,1007.8,5403,0.0,0.43,12,30.96,Safe
Rough Terrain Crane,7000,56.2,59,41.9,46.6,Precast Wall,3688,10.88,5.9,6.5,181,32.4,25,1006.2,3751,0.3,0.05,4,31.76,Safe
Mobile Crane,5000,28.5,33,14.7,16.5,Steel Beam,1156,3.0,5.7,7.9,340,44.1,40,1008.9,9513,2.3,0.24,16,19.04,Safe
Mobile Crane,5000,29.7,73,21.7,28.0,Wind Turbine Blade,1769,16.65,6.7,7.3,10,1.3,69,1012.5,4374,1.1,0.71,2,33.25,Safe
Crawler Crane,12000,61.5,63,43.4,54.5,Steel Pipe,1455,3.94,7.0,9.2,126,25.9,90,998.4,5106,0.7,0.14,25,20.1,Safe
Tower Crane,8000,74.6,69,32.5,70.9,Glass Panel,685,11.65,4.7,6.3,358,31.5,48,998.5,2936,0.0,0.19,8,18.49,Safe
Tower Crane,8000,45.3,27,20.4,19.3,Shipping Container,3246,10.14,2.7,3.0,26,14.0,92,1003.8,4291,0.3,0.42,8,21.31,Safe
Crawler Crane,12000,61.3,28,35.6,29.4,Steel Pipe,750,3.08,3.3,3.8,179,30.6,56,1004.4,1279,0.0,0.43,6,15.28,Safe
Tower Crane,8000,40.0,67,28.4,35.7,Precast Wall,2147,11.36,3.4,3.7,94,7.6,87,1006.4,5486,0.4,0.2,4,22.47,Safe
Tower Crane,8000,66.8,68,40.3,63.4,Machinery,2276,6.45,0.6,0.7,301,21.4,72,1000.7,5021,0.1,0.03,7,14.87,Safe
Rough Terrain Crane,7000,28.1,31,10.4,15.4,Concrete Block,1168,2.17,8.9,12.2,335,35.9,49,1021.7,2116,2.4,1.02,3,26.76,Safe
Crawler Crane,12000,55.1,55,46.5,43.9,Shipping Container,1679,11.02,4.1,4.9,129,39.6,96,1033.9,6496,0.5,0.4,15,21.06,Safe
Tower Crane,8000,76.4,29,43.2,37.1,Steel Beam,1183,2.8,2.1,2.7,66,9.5,97,992.7,3616,0.0,0.28,24,11.38,Safe
Rough Terrain Crane,7000,42.3,59,32.9,38.1,Shipping Container,3293,16.01,4.6,5.4,199,15.0,59,999.3,558,4.2,0.21,6,32.06,Safe
Mobile Crane,5000,37.8,25,29.6,17.1,Precast Wall,3063,9.95,5.8,7.2,155,37.6,62,1021.9,9546,0.0,0.0,4,32.36,Safe
Mobile Crane,5000,26.7,59,11.5,21.0,Shipping Container,2637,17.42,5.0,5.7,26,27.1,56,1034.5,3940,0.0,0.28,18,27.84,Safe
Tower Crane,8000,40.1,47,26.0,31.2,Machinery,1140,7.68,10.8,14.7,135,31.1,77,1030.4,5331,3.3,0.66,11,31.44,Safe
Tower Crane,8000,65.0,25,49.0,26.3,Steel Pipe,1023,3.02,4.3,4.5,336,43.9,99,994.8,6758,0.0,0.24,21,15.91,Safe
Crawler Crane,12000,83.5,65,52.8,74.5,Precast Wall,1903,7.27,3.8,4.3,322,35.4,75,997.0,4296,1.4,0.02,24,15.76,Safe
Rough Terrain Crane,7000,37.9,55,13.3,29.8,Shipping Container,2221,11.51,7.5,9.2,92,27.4,27,1004.0,3411,0.2,0.07,27,23.36,Safe
Rough Terrain Crane,7000,49.1,37,16.6,27.8,Glass Panel,665,13.27,5.5,7.6,51,31.2,42,1022.7,693,0.0,0.11,20,18.11,Safe
Tower Crane,8000,55.1,26,19.9,22.2,Steel Beam,1041,1.75,5.2,5.6,73,41.9,26,1025.7,653,0.6,0.22,26,13.57,Safe
Tower Crane,8000,61.7,46,47.4,42.7,Shipping Container,3467,16.08,2.0,2.7,83,10.4,86,997.0,1415,2.5,0.15,18,24.82,Safe
Crawler Crane,12000,71.4,32,22.3,36.0,Steel Pipe,720,4.05,7.4,9.9,72,-4.9,53,991.1,7498,0.0,0.62,13,18.12,Safe
Mobile Crane,5000,30.6,43,13.0,22.4,Wind Turbine Blade,2906,28.26,6.6,8.8,57,19.6,39,1000.1,5117,1.6,0.43,12,36.78,Warning
Tower Crane,8000,64.6,32,32.2,35.9,Concrete Block,4668,1.09,10.1,11.1,219,21.5,48,1020.6,2961,0.0,0.31,29,30.8,Safe
Crawler Crane,12000,71.2,43,35.0,47.0,Precast Wall,3710,7.58,10.7,12.2,39,34.4,44,1025.0,2901,1.2,0.02,11,30.68,Safe
Mobile Crane,5000,31.7,71,23.4,31.9,Concrete Block,1463,2.16,2.7,3.7,142,2.2,66,1034.8,3479,0.9,0.14,25,16.53,Safe
